number,line_class,design_code,design_temp_range_deg_c,material,rt_ut_nde_percent,mt_pt_nde_percent,nde_percent,ht_max_value,pmi_percent,comments,line_class_normalized,content
155,900H5H (AG) & (UG),ASME B31.8,-40 / 80,LTCS - API X60 (SMLS),100 BW/5 SKT,100 BW/SKT,100,235HB,,,900H5HAGUG,Pipe line class 900H5H (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X60 (SMLS).
156,900H5F,ASME B31.8,-46 / 176,LTCS - SMYS≤ 42 ksi (290 Mpa),100 BW/5 SKT,100 BW/SKT,100,235HB,,,900H5F,Pipe line class 900H5F. Design code ASME B31.8. Design temperature range -46 / 176 deg C. Material LTCS - SMYS≤ 42 ksi (290 Mpa).
157,900K01,ASME B31.3,-46 / 375,LTCS NACE,100 BW/5 SKT,100 BW/SKT,100,200HB,,,900K01,Pipe line class 900K01. Design code ASME B31.3. Design temperature range -46 / 375 deg C. Material LTCS NACE.
158,900K02,ASME B31.3,-46 / 375,LTCS NACE,100 BW/5 SKT,100 BW/SKT,100,200HB,,,900K02,Pipe line class 900K02. Design code ASME B31.3. Design temperature range -46 / 375 deg C. Material LTCS NACE.
159,900K21,ASME B31.3,-40 / 343,LTCS NACE,100 BW/5 SKT,100 BW/SKT,100,200HB,,,900K21,Pipe line class 900K21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE.
160,900K23,ASME B31.3,-46 / 200,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,900K23,Pipe line class 900K23. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS NACE.
161,900K5A (AG) & (UG),ASME B31.8,-46 / 120,LTCS NACE - API X52/60 (SMLS),100 BW/5 SKT,100 BW/SKT,100,235HB,,,900K5AAGUG,Pipe line class 900K5A (AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 120 deg C. Material LTCS NACE - API X52/60 (SMLS).
162,900K5B (AG) & (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,900K5BAGUG,Pipe line class 900K5B (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS).
163,900K5C (AG) & (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,900K5CAGUG,Pipe line class 900K5C (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS).
164,900K5D (AG) & (UG),ASME B31.8,-40 / 120,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 BW/SKT,100,235HB,,,900K5DAGUG,Pipe line class 900K5D (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 120 deg C. Material LTCS NACE - API X60 (SMLS).
165,900P21,ASME B31.3,-140 / 350,316/316L SS,100 BW/5 SKT,100 BW/SKT,0,,100,,900P21,Pipe line class 900P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. PMI 100.0.
166,900P22,ASME B31.3,-46 / 350,316/316L SS,100 BW/5 SKT,100 SKT,0,,100,,900P22,Pipe line class 900P22. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material 316/316L SS. PMI 100.0.
167,1500A60,ASME B31.3,-100 / 110,Inconel 625 (NACE),100 BW/5 SKT,100 SKT,0,,100,,1500A60,Pipe line class 1500A60. Design code ASME B31.3. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). PMI 100.0.
168,1500F22,ASME B31.3,-40 / 155,"LTCS NACE, 2-1/4Cr F22 modified",100 BW/5 SKT,100 SKT,100,200HB,,,1500F22,"Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material LTCS NACE, 2-1/4Cr F22 modified."
169,1500H1,ASME B31.3,-40 / 343,LTCS,100 BW/5 SKT,100 BW/SKT,100,200HB,,HT only for welds with PWHT,1500H1,Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS. Comments HT only for welds with PWHT.
170,1500K1,ASME B31.3,-40 / 126,LTCS NACE,100 BW,100 BW,100,200HB,,,1500K1,Pipe line class 1500K1. Design code ASME B31.3. Design temperature range -40 / 126 deg C. Material LTCS NACE.
171,1500P1,ASME B31.3,-60 / 120,316/316L SS,100 BW/5 SKT,100 BW/SKT,0,,100,,1500P1,Pipe line class 1500P1. Design code ASME B31.3. Design temperature range -60 / 120 deg C. Material 316/316L SS. PMI 100.0.
172,2500A60,ASME B31.3,-100 / 110,Inconel 625 (NACE),100 BW/5 SKT,100 SKT,0,,100,,2500A60,Pipe line class 2500A60. Design code ASME B31.3. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). PMI 100.0.
173,2500F22,ASME B31.3,-40 / 180,"LTCS NACE, 2-1/4Cr F22 modified",100 BW/5 SKT,100 SKT,100,200HB,,,2500F22,"Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE, 2-1/4Cr F22 modified."
174,2500H1,ASME B31.3,-46 / 200,LTCS,100 BW/5 SKT,100 BW/SKT,100,200HB,,HT only for welds with PWHT,2500H1,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS. Comments HT only for welds with PWHT.
175,2500K1,ASME B31.3,-46 / 200,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,2500K1,Pipe line class 2500K1. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS.
176,2500P1,ASME B31.3,-40 / 120,316/316L SS,100 BW/5 SKT,100 BW/SKT,0,,100,,2500P1,Pipe line class 2500P1. Design code ASME B31.3. Design temperature range -40 / 120 deg C. Material 316/316L SS. PMI 100.0.
177,2500P2,ASME B31.3,-46 / 120,316/316L SS (F321 Flange),100 BW/5 SKT,100 BW/SKT,0,,100,,2500P2,Pipe line class 2500P2. Design code ASME B31.3. Design temperature range -46 / 120 deg C. Material 316/316L SS (F321 Flange). PMI 100.0.
178,10000A,ASME B31.3         API 6A,-140 / 135,Inconel 825,100 BW/5 SKT,100 BW/SKT,0,,100,,10000A,Pipe line class 10000A. Design code ASME B31.3         API 6A. Design temperature range -140 / 135 deg C. Material Inconel 825. PMI 100.0.
179,10000A60,ASME B31.3        (Ch.IX) API 6A,-100 / 110,Inconel 625 (NACE),100 BW/5 SKT,100 BW/SKT,0,,100,,10000A60,Pipe line class 10000A60. Design code ASME B31.3        (Ch.IX) API 6A. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). PMI 100.0.
180,10000F22,ASME B31.3       (Ch.IX) API 6A,-40 / 130,"LTCS NACE, 2-1/4Cr F22 modified",100 BW/5 SKT,100 BW/SKT,100,200HB,,,10000F22,"Pipe line class 10000F22. Design code ASME B31.3       (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material LTCS NACE, 2-1/4Cr F22 modified."
181,10000H5A,ASME B31.8       API 6A,-40 / 110,API 5L X60,100 BW/5 SKT,100 BW/SKT,100,235HB,,,10000H5A,Pipe line class 10000H5A. Design code ASME B31.8       API 6A. Design temperature range -40 / 110 deg C. Material API 5L X60.
182,10000K5A,ASME B31.8    API 6A,-40 / 90,API 5L X60,100 BW/5 SKT,100 BW/SKT,100,235HB,,,10000K5A,Pipe line class 10000K5A. Design code ASME B31.8    API 6A. Design temperature range -40 / 90 deg C. Material API 5L X60.
183,10000K,ASME B31.8    API 6A,-40 / 125,API 5L X60 (SMLS),100 BW/5 SKT,100 BW/SKT,100,235HB,,,10000K,Pipe line class 10000K. Design code ASME B31.8    API 6A. Design temperature range -40 / 125 deg C. Material API 5L X60 (SMLS).
184,10000P,ASME B31.8,-36 / 110,API 5L X60,100 BW/5 SKT,100 BW/SKT,100,235HB,,,10000P,Pipe line class 10000P. Design code ASME B31.8. Design temperature range -36 / 110 deg C. Material API 5L X60.
185,10000X1,ASME B31.8         API 6A,-40 / 110,API 5L X60 (SMLS),100 BW/5 SKT,100 BW/SKT,100,235HB,,,10000X1,Pipe line class 10000X1. Design code ASME B31.8         API 6A. Design temperature range -40 / 110 deg C. Material API 5L X60 (SMLS).
186,10000X22,ASME B31.8      API 6A,-40 / 110,2-1/4Cr F22 Modified,100 BW/5 SKT,100 BW/SKT,100,235HB,,,10000X22,Pipe line class 10000X22. Design code ASME B31.8      API 6A. Design temperature range -40 / 110 deg C. Material 2-1/4Cr F22 Modified.
187,A1 (AG) & (UG),ASME B31.4,-36 / 90,LTCS NACE - API 5L X46 (SMLS),100 BW,0,100,235HB,,,A1AGUG,Pipe line class A1 (AG) & (UG). Design code ASME B31.4. Design temperature range -36 / 90 deg C. Material LTCS NACE - API 5L X46 (SMLS).
188,A2 (AG) & (UG),ASME B31.4,-36 / 90,LTCS NACE - API 5L X46 (SMLS),100 BW,0,100,235HB,,,A2AGUG,Pipe line class A2 (AG) & (UG). Design code ASME B31.4. Design temperature range -36 / 90 deg C. Material LTCS NACE - API 5L X46 (SMLS).
189,A3,ASME B31.3,-36 / 210,LTCS,5 BW,0,0,,,,A3,Pipe line class A3. Design code ASME B31.3. Design temperature range -36 / 210 deg C. Material LTCS.
190,A4,ASME B31.3,4 / 44,LTCS,5 BW,0,0,,,,A4,Pipe line class A4. Design code ASME B31.3. Design temperature range 4 / 44 deg C. Material LTCS.
191,A5,ASME B31.3,-36 / 75,LTCS,5 BW,0,0,,,,A5,Pipe line class A5. Design code ASME B31.3. Design temperature range -36 / 75 deg C. Material LTCS.
192,A6,ASME B31.4,0 / 50,CS,5 BW,0,100,235HB,,,A6,Pipe line class A6. Design code ASME B31.4. Design temperature range 0 / 50 deg C. Material CS.
193,A7,ASME B31.4       B31.8,-36 / 50,LTCS - API 5L X46 (SMLS),5 BW,0,100,235HB,,,A7,Pipe line class A7. Design code ASME B31.4       B31.8. Design temperature range -36 / 50 deg C. Material LTCS - API 5L X46 (SMLS).
194,D1 (AG) & (UG),ASME B31.4,-36 / 90,LTCS NACE - API 5L X46 (SMLS),100 BW,0,100,235HB,,,D1AGUG,Pipe line class D1 (AG) & (UG). Design code ASME B31.4. Design temperature range -36 / 90 deg C. Material LTCS NACE - API 5L X46 (SMLS).
195,D2,ASME B31.8,-36 / 90,CrNi SS (ASTM A358),100 BW,0,0,,100,,D2,Pipe line class D2. Design code ASME B31.8. Design temperature range -36 / 90 deg C. Material CrNi SS (ASTM A358). PMI 100.0.
196,D3,ASME B31.2,-36 / 100,LTCS / API 5L Gr B,5 BW,0,0,,,,D3,Pipe line class D3. Design code ASME B31.2. Design temperature range -36 / 100 deg C. Material LTCS / API 5L Gr B.
197,D4,ASME B31.4,-36 / 44,316/L SS,5 BW,0,0,,100,,D4,Pipe line class D4. Design code ASME B31.4. Design temperature range -36 / 44 deg C. Material 316/L SS. PMI 100.0.
198,D5,ASME B31.4,0 / 50,LTCS / API 5L Gr B,5 BW,0,100,235HB,,,D5,Pipe line class D5. Design code ASME B31.4. Design temperature range 0 / 50 deg C. Material LTCS / API 5L Gr B.
199,E1 (AG) & (UG),ASME B31.4,-36 / 90,LTCS - API 5L X60 (SMLS),100 BW,0,100,235HB,,,E1AGUG,Pipe line class E1 (AG) & (UG). Design code ASME B31.4. Design temperature range -36 / 90 deg C. Material LTCS - API 5L X60 (SMLS).
200,X2,ASME B31.4,-36 / 90,LTCS - API 5L X60 (SMLS),100 BW,100,100,235HB,,,X2,Pipe line class X2. Design code ASME B31.4. Design temperature range -36 / 90 deg C. Material LTCS - API 5L X60 (SMLS).
201,GOST,,-46 / 300,LTCS,5 BW,0,0,,,,GOST,Pipe line class GOST. Design temperature range -46 / 300 deg C. Material LTCS.
202,C14A,,-36 / 200,API 5L Gr B,5 BW/SKT,100 SKT,0,,,,C14A,Pipe line class C14A. Design temperature range -36 / 200 deg C. Material API 5L Gr B.
203,D10A,,-36 / 40,LTCS GALV,5 BW/SKT,100 SKT,0,,,,D10A,Pipe line class D10A. Design temperature range -36 / 40 deg C. Material LTCS GALV.
204,D14A,ASME B31.3,-36 / 200,LTCS,5 BW/SKT,100 SKT,0,,,,D14A,Pipe line class D14A. Design code ASME B31.3. Design temperature range -36 / 200 deg C. Material LTCS.
205,D14B,ASME B31.3,-36 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,D14B,Pipe line class D14B. Design code ASME B31.3. Design temperature range -36 / 300 deg C. Material LTCS.
206,D14C,ASME B31.3,-36 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,D14C,Pipe line class D14C. Design code ASME B31.3. Design temperature range -36 / 300 deg C. Material LTCS.
207,D14D,ASME B31.3,-36 / 200,LTCS,5 BW/SKT,100 SKT,0,,,,D14D,Pipe line class D14D. Design code ASME B31.3. Design temperature range -36 / 200 deg C. Material LTCS.
208,D14E,ASME B31.3,-36 / 100,LTCS,100 BW,100 BW,100,200HB,,,D14E,Pipe line class D14E. Design code ASME B31.3. Design temperature range -36 / 100 deg C. Material LTCS.
209,D14G,ASME B31.3,-36 / 300,LTCS NACE,100 BW/5 SKT,100 BW/SKT,100,200HB,,,D14G,Pipe line class D14G. Design code ASME B31.3. Design temperature range -36 / 300 deg C. Material LTCS NACE.
210,D14H,ASME B31.3,-36 / 100,LTCS,5 BW/SKT,100 SKT,0,,,,D14H,Pipe line class D14H. Design code ASME B31.3. Design temperature range -36 / 100 deg C. Material LTCS.
211,D34A,ASME B31.3,-36 / 100,LTCS,5 BW/SKT,5 BW/100 SKT,0,,,,D34A,Pipe line class D34A. Design code ASME B31.3. Design temperature range -36 / 100 deg C. Material LTCS.
212,D34B,ASME B31.3,-36 / 350,LTCS,5 BW/SKT,5 BW/100 SKT,0,,,,D34B,Pipe line class D34B. Design code ASME B31.3. Design temperature range -36 / 350 deg C. Material LTCS.
213,D34C,ASME B31.3,-36 / 200,LTCS,5 BW/SKT,100 SKT,0,,,,D34C,Pipe line class D34C. Design code ASME B31.3. Design temperature range -36 / 200 deg C. Material LTCS.
214,D34D,ASME B31.3,-36 / 90,LTCS,100 BW,0,100,200HB,,,D34D,Pipe line class D34D. Design code ASME B31.3. Design temperature range -36 / 90 deg C. Material LTCS.
215,D34E,ASME B31.3,-36 / 100,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,D34E,Pipe line class D34E. Design code ASME B31.3. Design temperature range -36 / 100 deg C. Material LTCS.
216,D64A,ASME B31.3,-36 / 400,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,D64A,Pipe line class D64A. Design code ASME B31.3. Design temperature range -36 / 400 deg C. Material LTCS.
217,DA4A,ASME B31.3,-36 / 200,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,DA4A,Pipe line class DA4A. Design code ASME B31.3. Design temperature range -36 / 200 deg C. Material LTCS.
218,F10A,,-36 / 100,Glass Reinforced Epoxy,See Note 3,See Note 3,See Note 3,,,,F10A,Pipe line class F10A. Design temperature range -36 / 100 deg C. Material Glass Reinforced Epoxy.
219,F10B,,-36 / 100,Glass Reinforced Epoxy,See Note 3,See Note 3,See Note 3,,,,F10B,Pipe line class F10B. Design temperature range -36 / 100 deg C. Material Glass Reinforced Epoxy.
220,F10C,,-36 / 100,Glass Reinforced Epoxy,See Note 3,See Note 3,See Note 3,,,,F10C,Pipe line class F10C. Design temperature range -36 / 100 deg C. Material Glass Reinforced Epoxy.
221,N30A,ASME B31.3,-36 / 100,UNS N08825,100 BW,0,0,,100,,N30A,Pipe line class N30A. Design code ASME B31.3. Design temperature range -36 / 100 deg C. Material UNS N08825. PMI 100.0.
222,S10A,ASME B31.3,-36 / 100,316L SS,5 BW/SKT,100 SKT,0,,100,,S10A,Pipe line class S10A. Design code ASME B31.3. Design temperature range -36 / 100 deg C. Material 316L SS. PMI 100.0.
223,0911,ASME B31.1,max 390,ASTM A105 CS,100 BW/5 SKT,100 SKT,100,200HB,,SGP PFD,0911,Pipe line class 0911. Design code ASME B31.1. Design temperature range max 390 deg C. Material ASTM A105 CS. Comments SGP PFD.
224,59A,ASME B31.3,-28 / 300,316L SS,100 BW/5 SKT,100 SKT,0,,100,SGP Nuovo Pignone,59A,Pipe line class 59A. Design code ASME B31.3. Design temperature range -28 / 300 deg C. Material 316L SS. PMI 100.0. Comments SGP Nuovo Pignone.
225,71F,ASME B31.3,-28 / 300,316L SS,100 BW/5 SKT,100 SKT,0,,100,SGP Nuovo Pignone,71F,Pipe line class 71F. Design code ASME B31.3. Design temperature range -28 / 300 deg C. Material 316L SS. PMI 100.0. Comments SGP Nuovo Pignone.
