number,line_class,design_code,design_temp_range_deg_c,material,rt_ut_nde_percent,mt_pt_nde_percent,nde_percent,ht_max_value,pmi_percent,comments,line_class_normalized,content
65,150PE3,,-46 / 40,HDPE,See Note 3,0,,,,,150PE3,Pipe line class 150PE3. Design temperature range -46 / 40 deg C. Material HDPE.
66,150PE4,,-46 / 40,HDPE,See Note 3,0,,,,,150PE4,Pipe line class 150PE4. Design temperature range -46 / 40 deg C. Material HDPE.
67,150PE6,,-40 / 25,HDPE,See Note 3,0,,,,,150PE6,Pipe line class 150PE6. Design temperature range -40 / 25 deg C. Material HDPE.
68,150PE7,,-40 / 80,HDPE,See Note 3,0,,,,,150PE7,Pipe line class 150PE7. Design temperature range -40 / 80 deg C. Material HDPE.
69,150PE8,,-40 / 25,HDPE,See Note 3,0,,,,,150PE8,Pipe line class 150PE8. Design temperature range -40 / 25 deg C. Material HDPE.
70,150PE9,,-40 / 40,HDPE,See Note 3,0,,,,,150PE9,Pipe line class 150PE9. Design temperature range -40 / 40 deg C. Material HDPE.
71,150PE10,,-40 / 40,HDPE,See Note 3,0,,,,,150PE10,Pipe line class 150PE10. Design temperature range -40 / 40 deg C. Material HDPE.
72,150PF1,ASME B31.3,-46 / 100,316/L SS,5 BW/SKT,100 SKT,0,,100,,150PF1,Pipe line class 150PF1. Design code ASME B31.3. Design temperature range -46 / 100 deg C. Material 316/L SS. PMI 100.0.
73,150PF2,ASME B31.3,-46 / 100,PTFE lined LTCS,0,0,,,,,150PF2,Pipe line class 150PF2. Design code ASME B31.3. Design temperature range -46 / 100 deg C. Material PTFE lined LTCS.
74,150PJ1,ASME B31.3,-46 / 180,316/316L SS,5 BW/SKT,100 SKT,0,,100,,150PJ1,Pipe line class 150PJ1. Design code ASME B31.3. Design temperature range -46 / 180 deg C. Material 316/316L SS. PMI 100.0.
75,150VC01,ASME B31.3,-46 / 110,LTCS Galv,0,0,,,,,150VC01,Pipe line class 150VC01. Design code ASME B31.3. Design temperature range -46 / 110 deg C. Material LTCS Galv.
76,150VG01,ASME B31.3,-46 / 110,LTCS Galv,0,0,,,,,150VG01,Pipe line class 150VG01. Design code ASME B31.3. Design temperature range -46 / 110 deg C. Material LTCS Galv.
77,150VS01,ASME B31.3,-46 / 110,316/316L SS,0,0,,,100,,150VS01,Pipe line class 150VS01. Design code ASME B31.3. Design temperature range -46 / 110 deg C. Material 316/316L SS. PMI 100.0.
78,300C80,ASME B31.3,-46 / 230,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,300C80,Pipe line class 300C80. Design code ASME B31.3. Design temperature range -46 / 230 deg C. Material Inconel 825. PMI 100.0.
79,300H01 (A),ASME B31.3,-46 / 300,LTCS,5 BW/SKT,100 SKT,0,,,,300H01A,Pipe line class 300H01 (A). Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS.
80,300H01 (B),ASME B31.3,-46 / 300,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,300H01B,Pipe line class 300H01 (B). Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS NACE.
81,300H02,ASME B31.3,-46 / 350,LTCS,5 BW/SKT,100 SKT,0,,,,300H02,Pipe line class 300H02. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material LTCS.
82,300H03,ASME B31.3,-46 / 350,LTCS,5 BW/SKT,100 SKT,0,,,,300H03,Pipe line class 300H03. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material LTCS.
83,300H04,ASME B31.3,-46 / 120,LTCS,5 BW/SKT,100 SKT,0,,,,300H04,Pipe line class 300H04. Design code ASME B31.3. Design temperature range -46 / 120 deg C. Material LTCS.
84,300H05,ASME B31.3,-46 / 75,LTCS,100 BW,0,100,200HB,,,300H05,Pipe line class 300H05. Design code ASME B31.3. Design temperature range -46 / 75 deg C. Material LTCS.
85,300H09(JACKETED SYSTEM),ASME B31.3,-46 / 210,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,INSIDE PIPE,300H09JACKETEDSYSTEM,Pipe line class 300H09(JACKETED SYSTEM). Design code ASME B31.3. Design temperature range -46 / 210 deg C. Material LTCS NACE. Comments INSIDE PIPE.
86,300H09(JACKETED SYSTEM),ASME B31.3,-46 / 210,LTCS NACE,5 BW/SKT,100 SKT,0,,,JACKET PIPE,300H09JACKETEDSYSTEM,Pipe line class 300H09(JACKETED SYSTEM). Design code ASME B31.3. Design temperature range -46 / 210 deg C. Material LTCS NACE. Comments JACKET PIPE.
87,300H21 (A),ASME B31.3,-46 / 343,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,300H21A,Pipe line class 300H21 (A). Design code ASME B31.3. Design temperature range -46 / 343 deg C. Material LTCS. Comments HT only for welds with PWHT.
88,300H21 (B),ASME B31.3,-46 / 343,LTCS,5 BW/SKT,100 SKT,100,200HB,,,300H21B,Pipe line class 300H21 (B). Design code ASME B31.3. Design temperature range -46 / 343 deg C. Material LTCS.
89,300H22,ASME B31.3,-29 / 370,LTCS,5 BW/SKT,100 SKT,0,,,,300H22,Pipe line class 300H22. Design code ASME B31.3. Design temperature range -29 / 370 deg C. Material LTCS.
90,300H25 (A),ASME B31.3,-46 / 343,LTCS,5 BW/SKT,100 SKT,0,,,,300H25A,Pipe line class 300H25 (A). Design code ASME B31.3. Design temperature range -46 / 343 deg C. Material LTCS.
91,300H25 (B),ASME B31.3,-46 / 343,LTCS,5 BW/SKT,100 SKT,100,200HB,,,300H25B,Pipe line class 300H25 (B). Design code ASME B31.3. Design temperature range -46 / 343 deg C. Material LTCS.
92,300H2G,ASME B31.3,-29 / 150,LTCS Galv/Scrd,5 BW/SKT,100 SKT,0,,,,300H2G,Pipe line class 300H2G. Design code ASME B31.3. Design temperature range -29 / 150 deg C. Material LTCS Galv/Scrd.
93,300H5E,ASME B31.4,-36 / 90,LTCS - API 5L X60 (SAW),5 BW/SKT,100 SKT,100,235HB,,,300H5E,Pipe line class 300H5E. Design code ASME B31.4. Design temperature range -36 / 90 deg C. Material LTCS - API 5L X60 (SAW).
94,300H5F,ASME B31.3,-40 / 90,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,300H5F,Pipe line class 300H5F. Design code ASME B31.3. Design temperature range -40 / 90 deg C. Material LTCS.
95,300H5P,ASME B31.3,-40 / 80,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,300H5P,Pipe line class 300H5P. Design code ASME B31.3. Design temperature range -40 / 80 deg C. Material LTCS.
96,300K01,ASME B31.3,-46 / 300,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,300K01,Pipe line class 300K01. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS NACE.
97,300K02,ASME B31.3,-46 / 300,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,300K02,Pipe line class 300K02. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS NACE.
98,300K21 (A),ASME B31.3,-46 / 260,LTCS,100 BW/5 SKT,100 SKT,100,200HB,,,300K21A,Pipe line class 300K21 (A). Design code ASME B31.3. Design temperature range -46 / 260 deg C. Material LTCS.
