id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
181,900A80,ASME B31.3,-40 / 300,Incoloy 825,8 - 24,12.70 - 24.61,54AW,N,,900A80,12.7,24.61,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material Incoloy 825. Diameter 8 - 24 in. Thickness range 12.70 - 24.61 mm. WPS number 54AW. PWHT N.
182,900A80,ASME B31.3,-40 / 300,Incoloy 825,30,30,Contact MI Engineer,N,,900A80,30,30,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material Incoloy 825. Diameter 30 in. Thickness range 30 mm. WPS number Contact MI Engineer. PWHT N.
183,900A80,ASME B31.3,-40 / 300,316/316L SS,2 - 4,5.54 - 11.13,25AW/14AW,N,,900A80,5.54,11.13,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material 316/316L SS. Diameter 2 - 4 in. Thickness range 5.54 - 11.13 mm. WPS number 25AW/14AW. PWHT N.
184,900A80,ASME B31.3,-40 / 300,316/316L SS,24,46.02,14AW,N,,900A80,46.02,46.02,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material 316/316L SS. Diameter 24 in. Thickness range 46.02 mm. WPS number 14AW. PWHT N.
185,900C80,ASME B31.3,-40 / 220,Incoloy 825,3/4-3 Solid,3.91 - 7.62,51AW,N,,900C80,3.91,7.62,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material Incoloy 825. Diameter 3/4-3 Solid in. Thickness range 3.91 - 7.62 mm. WPS number 51AW. PWHT N.
186,900C80,ASME B31.3,-40 / 220,LTCS + 3 mm 625 internal cladding,4 - 8,11.13 - 15.09,81AW,N see Note (7),,900C80,11.13,15.09,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4 - 8 in. Thickness range 11.13 - 15.09 mm. WPS number 81AW. PWHT N see Note (7).
187,900C80,ASME B31.3,-40 / 220,LTCS + 3 mm 625 internal cladding,16,26.19,Contact MI Engineer,Y,,900C80,26.19,26.19,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 16 in. Thickness range 26.19 mm. WPS number Contact MI Engineer. PWHT Y.
188,900C80,ASME B31.3,-40 / 220,LTCS + 3 mm 825/625 internal cladding,18-36,29.36 - 57.00,Contact MI Engineer,Y,,900C80,29.36,57,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18-36 in. Thickness range 29.36 - 57.00 mm. WPS number Contact MI Engineer. PWHT Y.
189,900H21,ASME B31.3,-40 / 410,LTCS NACE,3/4 - 3,3.91 - 7.82,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",900H21,3.91,7.82,"Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2""."
190,900H21,ASME B31.3,-40 / 410,LTCS NACE,4 - 4,11.13 - 11.13,21AW,N,,900H21,11.13,11.13,Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 4 - 4 in. Thickness range 11.13 - 11.13 mm. WPS number 21AW. PWHT N.
