id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
236,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,≤ 4,9.00 - 14.00,HP700PW,Y,,2500F22,9,14,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter ≤ 4 in. Thickness range 9.00 - 14.00 mm. WPS number HP700PW. PWHT Y.
237,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,6 - 8,19.50 - 24.00,Contact MI Engineer,Y,,2500F22,19.5,24,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter 6 - 8 in. Thickness range 19.50 - 24.00 mm. WPS number Contact MI Engineer. PWHT Y.
238,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,10 - 12,29.00 - 34.00,Contact MI Engineer,Y,,2500F22,29,34,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter 10 - 12 in. Thickness range 29.00 - 34.00 mm. WPS number Contact MI Engineer. PWHT Y.
239,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,> 14,37.00 - 66.00,Contact MI Engineer,Y,,2500F22,37,66,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter > 14 in. Thickness range 37.00 - 66.00 mm. WPS number Contact MI Engineer. PWHT Y.
240,2500H1,ASME B31.3,-40 / 200,LTCS NACE,3/4 - 2,7.47 - 12.00,20AW,N,,2500H1,7.47,12,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3/4 - 2 in. Thickness range 7.47 - 12.00 mm. WPS number 20AW. PWHT N.
241,2500H1,ASME B31.3,-40 / 200,LTCS NACE,3 - 3,16.00 - 16.00,21AW,N,,2500H1,16,16,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3 - 3 in. Thickness range 16.00 - 16.00 mm. WPS number 21AW. PWHT N.
242,2500H1,ASME B31.3,-40 / 200,LTCS NACE,≥ 4,20.00 - 66.00,21PW,Y,,2500H1,20,66,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter ≥ 4 in. Thickness range 20.00 - 66.00 mm. WPS number 21PW. PWHT Y.
243,2500K1,ASME B31.3,-40 / 200,LTCS NACE,3/4 - 3,7.82 - 16.00,20PW,Y,,2500K1,7.82,16,Pipe line class 2500K1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 7.82 - 16.00 mm. WPS number 20PW. PWHT Y.
244,2500K1,ASME B31.3,-40 / 200,LTCS NACE,> 3,20.00 - 29.00,21PW,Y,,2500K1,20,29,Pipe line class 2500K1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 20.00 - 29.00 mm. WPS number 21PW. PWHT Y.
245,2500P1,ASME B31 3,-40 / 120,316/316L SS,3/4 - 1 1/2,7.82 - 10.15,25AW,N,,2500P1,7.82,10.15,Pipe line class 2500P1. Design code ASME B31 3. Design temperature range -40 / 120 deg C. Material 316/316L SS. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 25AW. PWHT N.
246,2500P1,ASME B31 3,-40 / 120,316/316L SS,≥ 2,12.70 - 22.00,14AW,N,,2500P1,12.7,22,Pipe line class 2500P1. Design code ASME B31 3. Design temperature range -40 / 120 deg C. Material 316/316L SS. Diameter ≥ 2 in. Thickness range 12.70 - 22.00 mm. WPS number 14AW. PWHT N.
247,2500P2,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),3/4 - 1 1/2,7.82 - 10.15,25AW,N,,2500P2,7.82,10.15,Pipe line class 2500P2. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 25AW. PWHT N.
248,2500P2,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),≥ 2,12.70 - 24.00,14AW,N,,2500P2,12.7,24,Pipe line class 2500P2. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter ≥ 2 in. Thickness range 12.70 - 24.00 mm. WPS number 14AW. PWHT N.
249,2500P3,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),3/4 - 1 1/2,7.82 - 10.15,25AW,N,,2500P3,7.82,10.15,Pipe line class 2500P3. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 25AW. PWHT N.
250,2500P3,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),≥ 2,12.70 - 22.00,14AW,N,,2500P3,12.7,22,Pipe line class 2500P3. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter ≥ 2 in. Thickness range 12.70 - 22.00 mm. WPS number 14AW. PWHT N.
251,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),3/4 - 2,5.56 - 8.74,43AW,N,,10000A60,5.56,8.74,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 3/4 - 2 in. Thickness range 5.56 - 8.74 mm. WPS number 43AW. PWHT N.
252,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),3 - 6,11.13 - 20.00,42AW,N,,10000A60,11.13,20,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 3 - 6 in. Thickness range 11.13 - 20.00 mm. WPS number 42AW. PWHT N.
253,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),8,26,Contact MI Engineer,N,,10000A60,26,26,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 8 in. Thickness range 26 mm. WPS number Contact MI Engineer. PWHT N.
254,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),16,47,Contact MI Engineer,N,,10000A60,47,47,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 16 in. Thickness range 47 mm. WPS number Contact MI Engineer. PWHT N.
255,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,LTCS NACE,3/4 - 1 1/2,7.82 - 12.00,20PW,Y,,10000F22,7.82,12,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material LTCS NACE. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 12.00 mm. WPS number 20PW. PWHT Y.
256,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,≤ 4,10.50 - 17.00,HP700PW,Y,,10000F22,10.5,17,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter ≤ 4 in. Thickness range 10.50 - 17.00 mm. WPS number HP700PW. PWHT Y.
257,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,6 - 8,23.50 - 29.50,Contact MI Engineer,Y,,10000F22,23.5,29.5,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter 6 - 8 in. Thickness range 23.50 - 29.50 mm. WPS number Contact MI Engineer. PWHT Y.
258,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,10 - 12,36.00 - 42.00,Contact MI Engineer,Y,,10000F22,36,42,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter 10 - 12 in. Thickness range 36.00 - 42.00 mm. WPS number Contact MI Engineer. PWHT Y.
259,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,> 14,46.00- 70.50,Contact MI Engineer,Y,,10000F22,46,70.5,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter > 14 in. Thickness range 46.00- 70.50 mm. WPS number Contact MI Engineer. PWHT Y.
260,10000H5A,ASME B31.8 API 6A,-40 / 110,API 5L X60 (SMLS),2 - 3,11.07 - 17.48,F-002PW,Y,,10000H5A,11.07,17.48,Pipe line class 10000H5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 110 deg C. Material API 5L X60 (SMLS). Diameter 2 - 3 in. Thickness range 11.07 - 17.48 mm. WPS number F-002PW. PWHT Y.
261,10000H5A,ASME B31.8 API 6A,-40 / 110,API 5L X60 (SMLS),4,19.510000000000002,F-002PW,Y,,10000H5A,19.51,19.51,Pipe line class 10000H5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 110 deg C. Material API 5L X60 (SMLS). Diameter 4 in. Thickness range 19.51 mm. WPS number F-002PW. PWHT Y.
262,10000K5A,ASME B31.8 API 6A,-40 / 90,API 5L X60 (SMLS),2 - 3,11.07 - 17.48,F-002PW,Y,,10000K5A,11.07,17.48,Pipe line class 10000K5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 90 deg C. Material API 5L X60 (SMLS). Diameter 2 - 3 in. Thickness range 11.07 - 17.48 mm. WPS number F-002PW. PWHT Y.
263,10000K5A,ASME B31.8 API 6A,-40 / 90,API 5L X60 (SMLS),4,19.510000000000002,F-002PW,Y,,10000K5A,19.51,19.51,Pipe line class 10000K5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 90 deg C. Material API 5L X60 (SMLS). Diameter 4 in. Thickness range 19.51 mm. WPS number F-002PW. PWHT Y.
264,10000X1,ASME B31.3 (Ch.IX) API 6A,0 / 110,API 5L X60 (SMLS),14,55,Contact MI Engineer,Y,,10000X1,55,55,Pipe line class 10000X1. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range 0 / 110 deg C. Material API 5L X60 (SMLS). Diameter 14 in. Thickness range 55 mm. WPS number Contact MI Engineer. PWHT Y.
265,10000X22,ASME B31.8 API 6A,-40 / 110,2-1/4Cr F22 Modified,14,55,Contact MI Engineer,Y,,10000X22,55,55,Pipe line class 10000X22. Design code ASME B31.8 API 6A. Design temperature range -40 / 110 deg C. Material 2-1/4Cr F22 Modified. Diameter 14 in. Thickness range 55 mm. WPS number Contact MI Engineer. PWHT Y.
