idid,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,content,dia_in1,dia_in2
0,150A20,ASME B31.3,-40 / 200,Alloy 20,1/2 - 4,2.77 - 3.91,45AW,N,,150A20,Pipe line class 150A20. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Alloy 20. Diameter 1/2 - 4 in. Thickness range 2.77 - 3.91 mm. WPS number 45AW. PWHT N.,0.5,4
1,150A80,ASME B31.3,-40 / 230,Incoloy 825 (NACE),3/4 - 12,3.91 - 7.11,51AW,N,,150A80,Pipe line class 150A80. Design code ASME B31.3. Design temperature range -40 / 230 deg C. Material Incoloy 825 (NACE). Diameter 3/4 - 12 in. Thickness range 3.91 - 7.11 mm. WPS number 51AW. PWHT N.,0.75,12
2,150C80,ASME B31.3,-40 / 200,Incoloy 825,1/2-3,3.68 - 5.49,51AW,N,,150C80,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material Incoloy 825. Diameter 1/2-3 Solid in. Thickness range 3.68 - 5.49 mm. WPS number 51AW. PWHT N.,0.5,3
3,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 625 internal cladding,4 - 16,9.27 - 11.13,81AW,N see Note (7),,150C80,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4 - 16 in. Thickness range 9.27 - 11.13 mm. WPS number 81AW. PWHT N see Note (7).,4,16
4,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825 internal cladding,4 - 18,6.02 - 7.92,Contact MI Engineer,N see Note (7),,150C80,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825 internal cladding. Diameter 4 - 18 in. Thickness range 6.02 - 7.92 mm. WPS number Contact MI Engineer. PWHT N see Note (7).,4,18
5,150C80,ASME B31.3,-40 / 200,LTCS + 3 mm 825/625 internal cladding,18 - 48,9.53 - 12.70,Contact MI Engineer,N see Note (7),,150C80,Pipe line class 150C80. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18 - 48 in. Thickness range 9.53 - 12.70 mm. WPS number Contact MI Engineer. PWHT N see Note (7).,18,48
6,150CP2,ASME B31.3,-40 / 150,LTCS PTFE Lined,1/2 - 24,,,,Flanged connections,150CP2,Pipe line class 150CP2. Design code ASME B31.3. Design temperature range -40 / 150 deg C. Material LTCS PTFE Lined. Diameter 1/2 - 24 in. Comments Flanged connections.,0.5,24
7,150H21,ASME B31.3,-40 / 343,LTCS NACE,1/2 - 3,3.73 - 7.82,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",150H21,"Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2"".",0.5,3
8,150H21,ASME B31.3,-40 / 343,LTCS NACE,14 - 48,7.92 - 12.70,21AW,N,,150H21,Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 14 - 48 in. Thickness range 7.92 - 12.70 mm. WPS number 21AW. PWHT N.,14,48
9,150H21,ASME B31.3,-40 / 343,LTCS NACE,24,19.05,21PW,Y,,150H21,Pipe line class 150H21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 24 in. Thickness range 19.05 mm. WPS number 21PW. PWHT Y.,24,24
