Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,U04,,OLETS,9006219,WELDOLET WT 6.02MM/SCH XS LTCS A694 F60,300K5A,1,1.5,4,4,BB,2530
bb_fgp,,,OLETS,9002450,WELDOLET WT 6.35 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,6,10,BB,2540
bb_fgp,,,OLETS,9006407,WELDOLET WT 6.35 MM/XS WT LTCS A694 F60,300K5A,1,2,6,10,BB,2550
bb_fgp,,,FLANGE,5563429,FLG WN 1500# RF 2-1/4CR F22M WT 47.5MM MANUFACTURERS STANDARD,1500F22,30,30,0,0,BB,2040
bb_fgp,,,OLETS,9006409,WELDOLET WT 6.35 MM/STD WT LTCS A694 F60,300K5A,3,3,8,10,BB,2560
bb_fgp,,,OLETS,9006817,WELDOLET WT 7.14 MM/ SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,12,14,BB,2570
bb_fgp,,,OLETS,9006413,WELDOLET WT 7.14 MM/XS WT LTCS A694 F60,300K5A,1,2,12,14,BB,2580
bb_fgp,,,OLETS,9006412,WELDOLET WT 7.14 MM/STD WT LTCS A694 F60,300K5A,3,3,12,14,BB,2590
bb_fgp,,,OLETS,9006411,WELDOLET WT 7.14 MM/6.02 MM LTCS A694 F60,300K5A,4,4,12,14,BB,2600
bb_fgp,,,OLETS,9006818,WELDOLET WT 7.92 MM/ SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,16,18,BB,2610
bb_fgp,,,OLETS,9002552,WELDOLET WT 7.92MM/ XS WT LTCS A694 F60,300K5A,1,2,16,18,BB,2620
bb_fgp,,,OLETS,9006415,WELDOLET WT 7.92 MM/STD WT LTCS A694 F60,300K5A,3,3,16,18,BB,2630
bb_fgp,,,OLETS,9006414,WELDOLET WT 7.92 MM/6.02 MM LTCS A694 F60,300K5A,4,4,16,18,BB,2640
bb_fgp,,,OLETS,9004124,WELDOLET WT 7.92 MM/6.35 MM LTCS A694 F60,300K5A,6,6,18,18,BB,2650
bb_fgp,U04,UDE,FLANGE,5563339,FLG WN 2500# RTJ 2-1/4CR F22M SCH XXS,1500F22,1,1,0,0,BB,2050
bb_fgp,,,OLETS,9002455,WELDOLET WT 8.74MM/ SCH 160 LTCS A694 F60,300K5A,0.75,0.75,20,20,BB,2660
bb_fgp,,,OLETS,9006423,WELDOLET WT 8.74 MM/XS WT LTCS A694 F60,300K5A,1,2,20,20,BB,2670
bb_fgp,,,OLETS,9006422,WELDOLET WT 8.74 MM/STD WT LTCS A694 F60,300K5A,3,3,20,20,BB,2680
bb_fgp,,,OLETS,9006421,WELDOLET WT 8.74 MM/6.02 MM LTCS A694 F60,300K5A,4,4,20,20,BB,2690
bb_fgp,,,OLETS,9002008,WELDOLET WT 8.74 MM/6.35 MM LTCS A694 F60,300K5A,6,6,20,20,BB,2700
bb_fgp,,,OLETS,9002457,WELDOLET WT 9.53 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,24,24,BB,2710
bb_fgp,,,OLETS,9006429,WELDOLET WT 9.53 MM/XS WT LTCS A694 F60,300K5A,1,2,24,24,BB,2720
bb_fgp,,,OLETS,9006428,WELDOLET WT 9.53 MM/STD WT LTCS A694 F60,300K5A,3,3,24,24,BB,2730
bb_fgp,,,OLETS,9006427,WELDOLET WT 9.53 MM/6.02 MM LTCS A694 F60,300K5A,4,4,24,24,BB,2740
bb_fgp,,,OLETS,9006424,WELDOLET WT 9.53 MM/6.35 MM LTCS A694 F60,300K5A,6,8,24,24,BB,2750
bb_fgp,U04,817,FLANGE,5563363,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 8.5MM,1500F22,3,3,0,0,BB,2060
bb_fgp,,,OLETS,9006433,WELDOLET WT 10.31 MM/6.02 MM LTCS A694 F60,300K5A,4,4,28,28,BB,2760
bb_fgp,,,OLETS,9006430,WELDOLET WT 10.31 MM/6.35 MM LTCS A694 F60,300K5A,6,10,28,28,BB,2770
bb_fgp,,,OLETS,9006816,WELDOLET WT 10.31 MM/7.14 MM LTCS A694 F60,300K5A,12,12,28,28,BB,2780
bb_fgp,U04,,OLETS,5504380,WELDOLET FLAT BOTTOM SCH XS LTCS A350 LF2 CL.1,300K5A,1,1,0,0,BB,2790
bb_fgp,U04,,OLETS,5505179,WELDOLET SCH STD/XS LTCS A350 LF2 CL.1,300K5A,1,2,3,3,BB,2800
bb_fgp,U04,,OLETS,5505333,WELDOLET SCH XS LTCS A350 LF2 CL.1,300K5A,1,1,2,2,BB,2810
